TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9961  1.61676E+00  1.60266E+00  7.56742E-01  2.32882E+00  7.12923E-02  2.19761E-01  3.75569E-02  1.29454E-01 -2.51059E-02 -4.78764E-02  1.42909E-01 -3.46485E-02 -1.43992E-02  1.88559E-02  1.33017E-01   -2254.06219523355
        -9960  1.61986E+00  1.66772E+00  7.60482E-01  2.30022E+00  6.79806E-02  1.66114E-01  1.93112E-02  1.31915E-01 -2.37033E-02 -5.06639E-03  1.28681E-01 -2.39290E-02 -3.06065E-02  1.86895E-02  1.21639E-01   -2310.82693792691
        -9959  1.61171E+00  1.65998E+00  7.57310E-01  2.35462E+00  5.84164E-02  2.29576E-01  4.40979E-02  1.27168E-01  3.82169E-02  1.08160E-02  1.58441E-01 -4.72454E-02 -3.39472E-02 -1.87559E-02  1.67823E-01   -2347.23670594282
        -9958  1.57064E+00  1.54780E+00  7.32240E-01  2.38938E+00  5.58696E-02  2.14932E-01  3.10273E-02  9.50442E-02 -4.91076E-02 -5.54976E-03  2.03370E-01 -4.56761E-02 -5.82503E-03  4.14807E-02  1.41442E-01   -2382.37509440615
        -9957  1.72219E+00  1.56736E+00  7.35066E-01  2.35153E+00  5.58039E-02  1.99109E-01  3.33738E-02  8.16446E-02 -1.78057E-02  2.65877E-04  1.64172E-01 -2.16197E-02  1.46162E-02  2.19121E-02  1.34125E-01   -2315.77341978141
        -9956  1.58082E+00  1.59129E+00  7.70251E-01  2.35414E+00  6.43162E-02  2.49139E-01  2.94470E-02  6.95847E-02  1.18658E-02  2.13307E-02  1.69991E-01 -1.54343E-02  1.34140E-02 -2.31151E-02  1.48897E-01   -2340.00657009226
        -9955  1.57311E+00  1.59193E+00  7.96662E-01  2.40995E+00  6.76918E-02  2.01435E-01  1.39088E-02  5.69123E-02  8.62788E-03  2.32080E-02  1.53239E-01 -2.96021E-02  2.31864E-03 -1.24978E-02  1.59179E-01   -2326.83029488708
        -9954  1.55847E+00  1.55973E+00  8.29584E-01  2.37255E+00  7.28064E-02  1.47351E-01  8.65733E-03  8.86691E-02  1.82988E-03  2.59873E-02  1.57496E-01 -3.45433E-02  1.04779E-02 -1.24753E-02  1.17612E-01   -2316.14642733876
        -9953  1.65500E+00  1.61039E+00  8.00307E-01  2.33124E+00  6.42664E-02  1.41422E-01 -2.72245E-02  9.39264E-02 -7.68528E-03  4.01790E-02  1.89582E-01 -4.28335E-02  2.55413E-02 -5.64164E-03  1.10174E-01   -2356.39506014419
        -9952  1.65189E+00  1.60431E+00  8.45935E-01  2.40661E+00  6.36648E-02  1.48043E-01  8.53716E-03  8.69506E-02 -2.69665E-02  4.21314E-02  1.90889E-01 -4.06274E-02  8.48512E-03 -1.83393E-03  1.31332E-01   -2389.63969099755
