TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9976  3.28725E+00  3.27215E+00 -6.06883E-01 -2.16867E-01  7.59118E-01  1.12955E+00  3.30295E-01  1.92501E-01  6.80676E-01  2.28573E+00  1.06421E-01  1.00000E+00  9.68185E-03 -9.64552E-04  6.86461E-03  2.13284E-04 -1.75682E-03  4.93451E-03 -2.37710E-03  1.25395E-03 -1.66695E-03  7.59642E-03   -19425.3766786013
        -9975  3.26618E+00  3.21780E+00 -6.01732E-01 -2.00394E-01  7.66785E-01  1.14622E+00  3.24740E-01  1.90114E-01  6.81971E-01  2.29733E+00  1.06421E-01  1.00000E+00  9.39075E-03 -1.22677E-03  7.28860E-03  6.23585E-05 -1.44115E-03  4.31267E-03 -2.23060E-03  1.26529E-03 -1.27206E-03  7.80549E-03   -19446.3313927315
        -9974  3.24580E+00  3.25266E+00 -5.93608E-01 -2.10748E-01  7.44166E-01  1.18022E+00  3.34625E-01  1.79445E-01  6.77453E-01  2.29604E+00  1.06122E-01  1.00000E+00  9.72716E-03 -5.33460E-04  7.08276E-03  2.67531E-04 -3.80971E-04  4.20775E-03 -1.72334E-03  8.79994E-04 -1.34195E-03  7.53436E-03   -19429.5387086330
        -9973  3.23868E+00  3.20794E+00 -5.95337E-01 -1.95579E-01  7.62074E-01  1.11934E+00  3.28310E-01  1.94252E-01  6.84512E-01  2.29633E+00  1.06837E-01  1.00000E+00  8.32770E-03 -2.59684E-05  7.43378E-03  8.29524E-05 -5.27941E-04  4.34981E-03 -6.54699E-04  2.86020E-04 -7.27971E-04  7.24158E-03   -19454.5105370348
        -9972  3.31399E+00  3.22477E+00 -6.17080E-01 -1.99732E-01  7.69744E-01  1.06409E+00  3.28563E-01  2.11164E-01  6.87371E-01  2.29423E+00  1.05949E-01  1.00000E+00  8.30296E-03 -7.21948E-04  6.53785E-03  6.47085E-05 -2.00541E-04  4.34008E-03 -1.19539E-03  1.20403E-03 -7.73481E-04  8.51917E-03   -19459.9181782861
        -9971  3.30586E+00  3.21199E+00 -6.13707E-01 -1.93641E-01  7.10092E-01  1.07373E+00  3.41369E-01  2.10374E-01  6.93848E-01  2.28939E+00  1.06636E-01  1.00000E+00  9.47794E-03 -9.89230E-04  6.88316E-03  3.28438E-04  1.82866E-04  3.64706E-03 -1.46119E-03  1.03075E-03 -9.29551E-04  7.64740E-03   -19470.4611348296
        -9970  3.23689E+00  3.25857E+00 -5.92163E-01 -2.06587E-01  7.20295E-01  1.04814E+00  3.40877E-01  2.19606E-01  6.92774E-01  2.29412E+00  1.07499E-01  1.00000E+00  9.34307E-03 -1.00345E-03  7.69891E-03 -7.64438E-05  1.48019E-04  4.25646E-03 -5.85494E-04 -9.42984E-05 -1.26399E-03  7.00974E-03   -19480.6964041648
        -9969  3.25257E+00  3.21802E+00 -5.97868E-01 -1.98142E-01  6.76231E-01  1.12743E+00  3.53926E-01  1.96407E-01  6.86548E-01  2.28856E+00  1.08561E-01  1.00000E+00  1.01462E-02 -9.38885E-04  6.81708E-03 -7.79788E-05  3.15235E-04  3.44418E-03 -8.01808E-04  2.99247E-04 -1.10692E-03  7.62244E-03   -19567.2032094106
        -9968  3.31244E+00  3.22953E+00 -6.13525E-01 -1.99366E-01  7.26399E-01  1.06995E+00  3.39315E-01  2.14365E-01  6.86231E-01  2.29459E+00  1.03830E-01  1.00000E+00  9.26733E-03 -1.58358E-04  6.66436E-03 -3.21556E-04  4.97477E-04  2.92095E-03 -4.54247E-04 -1.89813E-04 -1.08130E-03  7.08487E-03   -19574.0973420363
        -9967  3.35120E+00  3.21186E+00 -6.27678E-01 -1.98671E-01  7.54514E-01  1.09523E+00  3.33812E-01  2.06809E-01  6.92578E-01  2.28783E+00  1.05231E-01  1.00000E+00  1.09400E-02  4.23099E-04  7.28263E-03  4.30025E-04  3.75913E-04  2.90371E-03 -1.88738E-03  8.45343E-04 -1.19325E-03  7.87819E-03   -19446.7880131567
